            11	2026-02-20 13:58:40	1	255	15	0
            12	2026-02-20 14:43:22	1	255	15	0
            12	2026-02-20 14:47:42	1	255	15	0
            12	2026-02-20 14:47:43	1	255	15	0
            12	2026-02-20 14:47:48	1	255	15	0
            12	2026-02-20 14:47:55	1	255	15	0
            12	2026-02-20 14:47:56	1	255	15	0
            11	2026-02-20 14:48:07	1	255	15	0
            13	2026-02-20 14:51:13	1	255	15	0
            13	2026-02-20 14:51:14	1	255	15	0
            13	2026-02-20 14:51:18	1	255	1	0
            13	2026-02-20 14:51:20	1	255	15	0
            13	2026-02-20 14:51:53	1	255	15	0
            13	2026-02-20 14:53:28	1	255	15	0
            13	2026-02-20 14:53:29	1	255	15	0
            13	2026-02-20 14:53:31	1	255	15	0
            12	2026-02-20 14:53:34	1	255	15	0
            12	2026-02-20 14:53:37	1	255	15	0
            12	2026-02-20 14:53:39	1	255	15	0
            12	2026-02-20 14:53:42	1	255	15	0
            11	2026-02-20 15:01:46	1	255	15	0
